quote,author
"The expert in anything was once a beginner.",Helen Hayes
"Study hard what interests you the most in the most undisciplined, irreverent and original manner possible.",Richard Feynman
"It always seems impossible until it's done.",Nelson Mandela
"The secret of getting ahead is getting started.",Mark Twain
"Wherever the art of medicine is loved, there is also a love of humanity.",Hippocrates
"You don't have to be great to start, but you have to start to be great.",Zig Ziglar
"Success is the sum of small efforts repeated day in and day out.",Robert Collier
"The future depends on what you do today.",Mahatma Gandhi
"Discipline is choosing between what you want now and what you want most.",Abraham Lincoln
"Don't watch the clock; do what it does. Keep going.",Sam Levenson
"A little progress each day adds up to big results.",Anonymous
"The only way to do great work is to love what you do.",Steve Jobs
"Strive for progress, not perfection.",Anonymous
"Hard work beats talent when talent doesn't work hard.",Tim Notke
"You are never too old to set another goal or to dream a new dream.",C.S. Lewis
"The harder the conflict, the greater the triumph.",George Washington
"Energy and persistence conquer all things.",Benjamin Franklin
"What we know is a drop, what we don't know is an ocean.",Isaac Newton
"Every accomplishment starts with the decision to try.",John F. Kennedy
"You don't have to see the whole staircase, just take the first step.",Martin Luther King Jr.
"Wherever you go, no matter what the weather, always bring your own sunshine.",Anthony J. D'Angelo
"The good physician treats the disease; the great physician treats the patient who has the disease.",William Osler
"Knowledge is of no value unless you put it into practice.",Anton Chekhov
"Patience and perseverance have a magical effect before which difficulties disappear.",John Quincy Adams
"It does not matter how slowly you go, so long as you do not stop.",Confucius
"Listen to the patient, he is telling you the diagnosis.",William Osler
"There is no substitute for hard work.",Thomas Edison
"Quality is not an act, it is a habit.",Aristotle
"The man who moves a mountain begins by carrying away small stones.",Confucius
"Believe you can and you're halfway there.",Theodore Roosevelt
"Medicine is a science of uncertainty and an art of probability.",William Osler
"Fall seven times, stand up eight.",Japanese Proverb
"The cure for boredom is curiosity. There is no cure for curiosity.",Dorothy Parker
"Don't count the days, make the days count.",Muhammad Ali
"Be regular and orderly in your life, that you may be violent and original in your work.",Gustave Flaubert
"Small daily improvements over time lead to stunning results.",Robin Sharma
"The only impossible journey is the one you never begin.",Tony Robbins
"Care more for the individual patient than for the special features of the disease.",William Osler
"You cannot escape the responsibility of tomorrow by evading it today.",Abraham Lincoln
"Wisdom is the daughter of experience.",Leonardo da Vinci
"He who has a why to live for can bear almost any how.",Friedrich Nietzsche
"Action is the foundational key to all success.",Pablo Picasso
"Concentrate all your thoughts upon the work at hand. The sun's rays do not burn until brought to a focus.",Alexander Graham Bell
"Don't let what you cannot do interfere with what you can do.",John Wooden
"The roots of education are bitter, but the fruit is sweet.",Aristotle
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
"The best preparation for tomorrow is doing your best today.",H. Jackson Brown Jr.
"In medicine, the art of saying nothing is as important as the science of saying something.",Anonymous
"Push yourself, because no one else is going to do it for you.",Anonymous
"Great things never come from comfort zones.",Anonymous
